------------------------------------------------------------
 Drain Current vs. Drain Voltage
------------------------------------------------------------
Drain Voltage (V), Drain Current (A)
                   0,           4.6476e-46
           0.0344828,          5.09102e-19
           0.0689655,          4.01182e-16
            0.103448,          3.16133e-13
            0.137931,          2.45683e-10
            0.172414,          1.63126e-08
            0.206897,          1.77888e-08
            0.241379,          1.77909e-08
            0.275862,          1.77909e-08
            0.310345,          1.77909e-08
            0.344828,          1.77909e-08
             0.37931,          1.77909e-08
            0.413793,          1.77905e-08
            0.448276,          1.74791e-08
            0.482759,          1.17503e-08
            0.517241,          1.15247e-08
            0.551724,          1.15244e-08
            0.586207,          1.15244e-08
             0.62069,          1.15244e-08
            0.655172,          1.15244e-08
            0.689655,          1.15244e-08
            0.724138,          1.15251e-08
            0.758621,          1.20647e-08
            0.793103,          3.46391e-08
            0.827586,          3.59332e-08
            0.862069,          3.59349e-08
            0.896552,          3.59349e-08
            0.931034,          3.59349e-08
            0.965517,          3.59349e-08
                   1,          3.59349e-08

